DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Kalná Roztoka;Kalná Roztoka;Snina;067 72;Klenová;Klenová;709;PV;06772
Kalnica;Kalnica;Levice;935 32;Kalná nad Hronom;Kalná nad Hronom;402;NI;93532
Kálnica;Kálnica;Nové Mesto n.Váhom;916 37;Kálnica pri Novom Meste nad Váhom;Kálnica pri N.M.n.V.;304;TC;91637
Kalnište;Kalnište;Svidník;087 01;Giraltovce;Giraltovce;712;PV;08701
Kalonda;Kalonda;Luèenec;985 31;Rapovce;Rapovce;606;BC;98531
Kaloša;Kaloša;Rimavská Sobota;982 52;Niná Kaloša;Niná Kaloša;609;BC;98252
Kalša;Kalša;Košice-okolie;044 18;Kalša;Kalša;806;KI;04418
Kalua;Kalua;Michalovce;072 36;Kalua;Kalua;807;KI;07236
Kamanová;Kamanová;Topo¾èany;956 12;Prese¾any;Prese¾any;406;NI;95612
Kameòany;Kameòany;Revúca;049 62;Kameòany;Kameòany;608;BC;04962
Kamenec;Kamenec;Levice;934 01;Levice 1;Levice 1;402;NI;93401
Kamenec pod Vtáènikom;Kamenec pod Vtáè.;Prievidza;972 44;Kamenec pod Vtáènikom;Kamenec pod Vtáènik.;307;TC;97244
Kamenica;Kamenica;Sabinov;082 71;Lipany nad Torysou;Lipany nad Torysou;708;PV;08271
Kamenica nad Cirochou;Kamenica n/Cirochou;Humenné;067 83;Kamenica nad Cirochou;Kamenica nad Ciroch.;702;PV;06783
Kamenica nad Hronom;Kamenica nad Hronom;Nové Zámky;943 65;Kamenica nad Hronom;Kamenica nad Hronom;404;NI;94365
Kamenièany;Kamenièany;Ilava;018 54;Slávnica;Slávnica;302;TC;01854
Kamenièná;Kamenièná;Komárno;946 01;Kamenièná pri Komárne;Kamenièná pri Komár.;401;NI;94601
Kamenín;Kamenín;Nové Zámky;943 57;Kamenín;Kamenín;404;NI;94357
Kamenná Poruba;Kamenná Poruba;ilina;013 14;Kamenná Poruba;Kamenná Poruba;511;ZI;01314
Kamenná Poruba;Kamenná Poruba;Vranov nad Top¾ou;093 03;Vranov nad Top¾ou 3;Vranov nad Top¾ou 3;713;PV;09303
Kamenné Kosihy;Kamenné Kosihy;Ve¾kı Krtíš;991 27;Kamenné Kosihy;Kamenné Kosihy;610;BC;99127
Kamennı Chotár;Kamennı Chotár;Levice;935 02;emberovce;emberovce;402;NI;93502
Kamennı Most;Kamennı Most;Nové Zámky;943 58;Kamennı Most;Kamennı Most;404;NI;94358
Kamennı Vrch;Kamennı Vrch;Ve¾kı Krtíš;992 01;Modrı Kameò;Modrı Kameò;610;BC;99201
